STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
17,031,190401,4257,+41.934274,-087.781031
17,031,190402,5458,+41.934480,-087.771537
17,031,190601,4545,+41.928241,-087.779445
17,031,190602,5516,+41.927428,-087.771335
17,031,190701,2955,+41.929586,-087.761415
17,031,190702,4869,+41.926171,-087.761086
17,031,190800,6632,+41.927798,-087.752011
17,031,190900,2040,+41.927855,-087.744265
17,031,191000,2559,+41.920313,-087.743967
17,031,191100,7414,+41.919898,-087.751116
17,031,191200,3853,+41.920633,-087.758478
17,031,191301,5397,+41.920829,-087.780204
17,031,191302,5034,+41.921197,-087.770661
17,031,200100,4354,+41.935016,-087.737905
17,031,200200,5427,+41.927528,-087.736783
17,031,200300,2209,+41.923396,-087.733603
17,031,200401,3603,+41.919855,-087.736428
17,031,200402,4396,+41.919746,-087.730018
17,031,210100,4028,+41.942017,-087.702762
17,031,210400,3035,+41.936126,-087.730020
17,031,210501,3900,+41.937416,-087.722408
17,031,210502,4486,+41.933850,-087.722148
17,031,210601,3104,+41.937572,-087.712700
17,031,210602,4683,+41.934302,-087.712583
17,031,210700,4309,+41.935138,-087.703871
17,031,210800,1196,+41.936448,-087.699051
17,031,210900,3068,+41.934972,-087.693832
17,031,220300,2102,+41.927866,-087.695093
17,031,220400,2495,+41.928641,-087.699952
17,031,220500,2626,+41.928654,-087.704868
17,031,220601,1766,+41.925900,-087.712848
17,031,220602,5064,+41.929615,-087.711901
17,031,220701,3437,+41.926306,-087.721604
17,031,220702,4060,+41.929805,-087.721684
17,031,220901,3498,+41.919376,-087.720586
17,031,220902,3371,+41.922671,-087.721732
17,031,221000,2923,+41.920931,-087.715241
17,031,221100,4870,+41.920912,-087.710409
17,031,221200,2860,+41.921304,-087.704793
17,031,221300,3222,+41.921174,-087.699718
17,031,221400,3020,+41.920493,-087.694687
17,031,221500,2829,+41.921613,-087.690090
17,031,221600,2969,+41.921171,-087.685015
17,031,222200,1912,+41.915870,-087.683902
17,031,222500,1410,+41.915786,-087.699444
17,031,222600,1602,+41.915688,-087.704461
17,031,222700,2235,+41.915543,-087.710366
17,031,222800,1074,+41.915248,-087.715024
17,031,222900,1244,+41.915759,-087.718921
17,031,230100,1623,+41.912094,-087.704473
17,031,230200,2107,+41.912058,-087.709843
17,031,230300,1024,+41.912013,-087.714860
17,031,230400,2609,+41.911685,-087.721282
17,031,230500,3570,+41.911715,-087.730380
17,031,230600,6818,+41.906140,-087.731686
17,031,230700,6364,+41.906478,-087.721849
17,031,230800,1314,+41.907354,-087.715489
17,031,230900,5399,+41.906601,-087.710308
17,031,231100,1236,+41.898708,-087.715324
17,031,231200,6095,+41.899289,-087.721135
17,031,231500,6039,+41.891984,-087.718114
17,031,240200,1452,+41.912626,-087.670342
17,031,240300,1317,+41.912375,-087.674842
17,031,240500,2251,+41.912013,-087.684021
17,031,240600,1457,+41.912394,-087.689697
17,031,240700,1535,+41.911976,-087.694167
17,031,240800,1617,+41.912043,-087.699302
17,031,240900,1182,+41.901072,-087.698783
17,031,241000,2047,+41.907853,-087.694556
17,031,241100,3682,+41.906726,-087.689675
17,031,241200,1696,+41.907640,-087.684560
17,031,241300,1857,+41.906491,-087.681125
17,031,241400,4595,+41.906057,-087.675562
17,031,241500,2872,+41.908888,-087.671045
17,031,241600,3477,+41.906548,-087.665426
17,031,242000,4565,+41.899619,-087.664816
17,031,242100,3648,+41.899820,-087.670038
17,031,242200,3590,+41.899490,-087.674731
17,031,242300,3240,+41.899347,-087.679565
17,031,242400,2764,+41.898895,-087.684615
17,031,242500,3438,+41.899383,-087.689644
17,031,242600,5831,+41.900707,-087.694027
17,031,242700,2029,+41.897758,-087.699305
17,031,242800,1436,+41.893890,-087.690535
17,031,242900,1670,+41.893058,-087.684283
17,031,243000,2204,+41.893230,-087.679467
17,031,243100,2242,+41.893633,-087.674596
17,031,243200,2170,+41.893380,-087.669709
17,031,243300,2386,+41.893506,-087.664621
17,031,243400,3001,+41.893252,-087.660130
17,031,243500,2937,+41.893010,-087.652378
17,031,250200,2669,+41.911670,-087.751032
17,031,250300,4725,+41.912274,-087.761106
17,031,250400,5887,+41.911624,-087.775396
17,031,250500,7538,+41.914801,-087.796883
17,031,250600,4422,+41.905544,-087.770734
17,031,250700,6098,+41.905855,-087.760661
17,031,250800,2488,+41.905766,-087.752286
17,031,251000,1181,+41.898739,-087.747194
17,031,251100,4302,+41.898687,-087.752094
17,031,251200,4196,+41.898621,-087.760586
17,031,251300,4921,+41.898503,-087.770343
17,031,251400,3983,+41.891429,-087.770443
17,031,251500,4784,+41.891459,-087.760940
17,031,251600,3649,+41.891444,-087.751728
17,031,251700,1495,+41.891966,-087.745509
17,031,251800,5112,+41.883347,-087.749271
17,031,251900,5731,+41.883665,-087.760840
17,031,252000,5719,+41.883443,-087.769960
17,031,252101,1370,+41.878879,-087.770173
17,031,252102,6438,+41.876311,-087.760301
17,031,252201,2953,+41.877034,-087.752024
17,031,252202,4609,+41.876897,-087.745579
17,031,260100,1248,+41.883359,-087.722175
17,031,260200,1136,+41.883815,-087.728640
17,031,260300,1564,+41.883534,-087.733293
17,031,260400,1271,+41.883633,-087.737527
17,031,260500,1934,+41.876779,-087.737607
17,031,260600,2478,+41.877473,-087.733046
17,031,260700,2032,+41.877218,-087.727931
17,031,260800,2539,+41.877265,-087.722800
17,031,260900,1480,+41.871074,-087.722631
17,031,261000,2319,+41.871412,-087.731084
17,031,270500,1689,+41.872664,-087.717890
17,031,271200,1170,+41.878267,-087.703086
17,031,271300,1045,+41.877834,-087.709553
17,031,271400,1527,+41.877615,-087.713403
17,031,271500,1397,+41.871767,-087.713134
17,031,271800,970,+41.871555,-087.698461
17,031,280100,4872,+41.886263,-087.642900
17,031,280400,1366,+41.884277,-087.671242
17,031,280800,755,+41.877968,-087.687875
17,031,280900,942,+41.877366,-087.685064
17,031,281900,4844,+41.880252,-087.642980
17,031,282700,2349,+41.871308,-087.687922
17,031,282800,1691,+41.870741,-087.684858
17,031,283100,2703,+41.869366,-087.663644
17,031,283200,1664,+41.869103,-087.659134
17,031,283800,3688,+41.863246,-087.654047
17,031,290900,4530,+41.862589,-087.730761
17,031,291200,2240,+41.862185,-087.712774
17,031,291600,1055,+41.857472,-087.694515
17,031,292200,2961,+41.856697,-087.715793
17,031,292400,2268,+41.855449,-087.722193
17,031,292500,4140,+41.854535,-087.729168
17,031,300500,3257,+41.847101,-087.721827
17,031,300600,3212,+41.847679,-087.717568
17,031,300700,5194,+41.847794,-087.712416
17,031,300800,4610,+41.848124,-087.707639
17,031,300900,5050,+41.848223,-087.702333
17,031,301100,2617,+41.847101,-087.698062
17,031,301200,4012,+41.848996,-087.692752
17,031,301600,4654,+41.840571,-087.712106
17,031,301701,4381,+41.842433,-087.719527
17,031,301702,4045,+41.838921,-087.719878
17,031,301801,4005,+41.840897,-087.733317
17,031,301802,3518,+41.845031,-087.727875
17,031,301803,5357,+41.839594,-087.727938
17,031,310200,1336,+41.857348,-087.644368
17,031,310300,1697,+41.856768,-087.649489
17,031,310400,1332,+41.856969,-087.652307
17,031,310500,1700,+41.856335,-087.654782
17,031,310600,5868,+41.857035,-087.659126
17,031,310700,1692,+41.856517,-087.664842
17,031,310800,4516,+41.855899,-087.668841
17,031,310900,5123,+41.855161,-087.674764
17,031,320100,10848,+41.885393,-087.619103
17,031,320400,2518,+41.876018,-087.626385
17,031,320600,4256,+41.870049,-087.625848
17,031,330100,16735,+41.861111,-087.623227
17,031,330200,3806,+41.859051,-087.628387
17,031,340300,1786,+41.842239,-087.635331
17,031,340400,1900,+41.841857,-087.632959
17,031,340500,1544,+41.836368,-087.633173
17,031,340600,907,+41.825942,-087.632776
17,031,350100,2144,+41.841673,-087.616122
17,031,350400,389,+41.841281,-087.627966
17,031,351000,3267,+41.834239,-087.613201
17,031,351100,1960,+41.829087,-087.615521
17,031,351400,1437,+41.826775,-087.623539
17,031,351500,255,+41.829942,-087.627460
17,031,360200,1443,+41.827203,-087.609892
17,031,380100,1924,+41.819006,-087.609994
17,031,380200,1680,+41.820188,-087.615095
17,031,380500,752,+41.821758,-087.628005
17,031,380700,1243,+41.813846,-087.623260
17,031,381200,2167,+41.808098,-087.614397
