GEOID,POPULATION
17043846518,3932
17043846519,3083
17043846521,5240
17043846522,3343
17043846523,2651
17043846524,4669
17043846603,4261
17043846604,3846
17043846701,4163
17043846702,4126
17045070100,2701
17045070200,1991
17045070300,4293
17045070400,5541
17045070500,4050
17047956900,2409
17047957000,2176
17047957100,2136
17049950100,3767
17049950200,4977
17049950300,4210
17049950400,3867
17049950500,4272
17049950600,5325
17049950700,3592
17049950800,4232
17051950500,2869
17051950600,2542
17051950700,4321
17051950800,5138
17051950900,2089
17051951000,2250
17051951100,2931
17053961600,1992
17053961700,2236
17053961800,4448
17053961900,1762
17053962000,3643
17055040100,3047
17055040200,3237
17055040300,2774
17055040400,3994
