RESIDENCE,WORKPLACE,JOBS
17017960100,17167003604,2
17017960200,17009970500,6
17017960200,17017960200,47
17017960200,17017960300,41
17017960200,17137951400,4
17017960200,17137951600,2
17017960200,17137951900,6
17017960200,17137952000,6
17017960200,17167001800,2
17017960200,17167003000,2
17017960300,17009970500,9
17017960300,17017960200,4
17017960300,17017960300,222
17017960300,17017960500,8
17017960300,17031842200,2
17017960300,17137951400,2
17017960300,17167000300,2
17017960300,17167001900,2
17017960300,17167002900,2
17017960300,17169970200,2
17017960400,17009970500,16
17017960400,17017960300,328
17017960400,17017960500,2
17017960400,17167000300,2
17017960500,17009970500,37
17017960500,17017960200,2
17017960500,17017960300,488
17017960500,17017960500,2
17017960500,17167001900,2
17017960500,17167002000,2
17019000200,17019000301,2
17019000200,17019000402,32
17019000200,17019000500,25
17019000200,17019000800,2
17019000200,17019000901,2
17019000200,17019000902,6
17019000200,17019001201,5
17019000200,17019001301,2
17019000200,17019005300,15
17019000200,17019005401,2
17019000200,17019005500,13
17019000200,17019005701,2
17019000200,17019010400,2
17019000200,17019011000,8
17019000301,17019000301,17
17019000301,17019000401,4
17019000301,17019000402,13
17019000301,17019000500,2
17019000301,17019000800,2
17019000301,17031839100,2
17019000301,17113001800,2
17019000301,17119402701,2
17019000302,17019000402,28
17019000302,17019001201,3
17019000302,17019001400,9
17019000302,17019005300,2
17019000302,17031243300,2
17019000302,17113001800,2
17019000401,17019000301,4
17019000401,17019000401,10
17019000401,17019000402,4
17019000401,17019000902,2
17019000401,17019001400,2
17019000401,17031243300,4
17019000401,17091011700,2
17019000401,17113001800,2
17019000401,17161024500,2
17019000401,17183011200,2
17019000402,17019000301,17
17019000402,17019000402,23
17019000402,17031243300,4
17019000402,17031801601,2
17019000402,17045070400,2
17019000402,17183001200,2
17019000500,17019000402,301
17019000500,17019000500,27
17019000500,17019000700,2
17019000500,17019000800,4
17019000500,17019000901,4
17019000500,17019000902,12
17019000500,17019001201,3
17019000500,17019001203,2
17019000500,17019001301,15
